time,tempICP,hum,tempSI7021,windSpeed,pres,RVPin,TMPPin,noise,noiseCalib,lum,meanRadTempPin,meanRadTempCalib,trNat,trFor
Fri Nov 10 21:15:26 2023,21.47949,48.48532,21.27583,0.00820306,99515.3,2334,2979,26,54.47589,0.0,20.0625,18.78,16.90714,18.73508
Fri Nov 10 21:16:27 2023,21.45813,48.49295,21.2651,0.01060512,99515.79,2343,3037,23,55.50464,0.0,20.0625,18.78,16.9173,18.72785
Fri Nov 10 21:17:27 2023,21.44745,48.52347,21.2651,0.01482636,99518.23,2356,3045,35,50.36264,0.0,20.0625,18.78,16.9173,18.71622
Fri Nov 10 21:18:28 2023,21.44745,48.56162,21.24365,0.01107143,99518.12,2345,3031,21,56.12846,0.0,20.0625,18.78,16.93756,18.72693
Fri Nov 10 21:19:29 2023,21.43677,48.5311,21.23293,0.007739685,99520.03,2333,3016,29,53.30872,0.0,20.0625,18.78,16.94766,18.73737
Fri Nov 10 21:20:30 2023,21.42609,48.56162,21.23293,0.005919939,99522.25,2325,3029,20,56.42435,0.0,20.0625,18.78,16.94766,18.74371
Fri Nov 10 21:21:31 2023,21.42075,48.56925,21.2222,0.01315091,99523.84,2352,3043,40,46.79952,0.0,20.0,18.69,16.78085,18.62946
Fri Nov 10 21:22:32 2023,21.41006,48.55399,21.20075,0.009663339,99525.75,2341,3040,38,48.40382,0.0,20.0,18.69,16.80124,18.64011
Fri Nov 10 21:23:33 2023,21.40739,48.57687,21.2222,0.008184236,99530.54,2335,3035,22,55.82215,0.0,20.0,18.69,16.78085,18.64447
Fri Nov 10 21:24:33 2023,21.40739,48.57687,21.21147,0.009173965,99531.28,2339,2979,24,55.17508,0.0,20.0,18.69,16.79105,18.64145
Fri Nov 10 21:25:34 2023,21.39671,48.59213,21.19003,0.00905822,99531.48,2339,3033,23,55.50464,0.0,20.0,18.69,16.8114,18.64221
Fri Nov 10 21:26:35 2023,21.38336,48.60739,21.19003,0.009603565,99530.91,2341,3051,25,54.83252,0.0,20.0,18.69,16.8114,18.6405
Fri Nov 10 21:27:36 2023,21.37535,48.59976,21.15784,0.01406598,99537.0,2356,3053,23,55.50464,0.0,20.0,18.69,16.84189,18.62857
Fri Nov 10 21:28:37 2023,21.37268,48.62265,21.16857,0.01246971,99539.28,2351,3044,29,53.30872,0.0,20.0,18.69,16.83173,18.6326
Fri Nov 10 21:29:38 2023,21.37268,48.65317,21.1793,0.01528069,99540.59,2359,3050,34,50.92837,0.0,19.9375,18.6,16.64407,18.53247
Fri Nov 10 21:30:38 2023,21.35132,48.64554,21.14712,0.01049622,99543.29,2345,3037,32,51.95999,0.0,19.9375,18.6,16.67484,18.54678
Fri Nov 10 21:31:39 2023,21.34064,48.68369,21.15784,0.004644277,99544.87,2320,3027,27,54.10399,0.0,19.9375,18.6,16.66458,18.56723
Fri Nov 10 21:32:40 2023,21.34598,48.69132,21.1364,0.01258337,99544.0,2352,3042,25,54.83252,0.0,19.9375,18.6,16.68506,18.54089
Fri Nov 10 21:33:41 2023,21.32195,48.67606,21.12567,0.008201157,99547.36,2337,3043,26,54.47589,0.0,19.9375,18.6,16.69528,18.55447
Fri Nov 10 21:34:42 2023,21.31126,48.67606,21.12567,0.01066292,99549.03,2346,3053,18,56.98748,0.0,19.9375,18.6,16.69528,18.54672
Fri Nov 10 21:35:43 2023,21.31126,48.70657,21.11495,0.01309668,99552.92,2354,2993,64,49.9324,0.0,19.9375,18.6,16.70547,18.53998
Fri Nov 10 21:36:43 2023,21.29524,48.72183,21.0935,0.01230545,99552.45,2352,3043,21,56.12846,0.0,19.875,18.51,16.54822,18.45056
Fri Nov 10 21:37:44 2023,21.29524,48.73709,21.10422,0.009133341,99553.65,2341,3047,27,54.10399,0.0,19.875,18.51,16.53793,18.46008
Fri Nov 10 21:38:45 2023,21.29524,48.72946,21.08277,0.008236988,99554.81,2338,3040,37,49.107,0.0,19.875,18.51,16.5585,18.46347
Fri Nov 10 21:39:46 2023,21.2899,48.73709,21.0935,0.002195637,99559.94,2305,2970,18,56.98748,0.0,19.875,18.51,16.54822,18.48886
Fri Nov 10 21:40:47 2023,21.26053,48.73709,21.0506,0.01141032,99557.45,2350,3053,38,48.40382,0.0,19.875,18.51,16.58926,18.45413
Fri Nov 10 21:41:47 2023,21.26587,48.76761,21.06132,0.01241816,99560.2,2353,2997,22,55.82215,0.0,19.875,18.51,16.57901,18.45096
Fri Nov 10 21:42:48 2023,21.26053,48.76761,21.06132,0.01587178,99560.28,2363,3056,23,55.50464,0.0,19.875,18.51,16.57901,18.44162
Fri Nov 10 21:43:49 2023,21.23917,48.77524,21.0506,0.0133307,99561.48,2356,3057,28,53.71545,0.0,19.8125,18.42,16.41104,18.35645
Fri Nov 10 21:44:50 2023,21.23383,48.81339,21.01842,0.01061764,99556.61,2348,3055,17,57.25593,0.0,19.8125,18.42,16.44205,18.36523
Fri Nov 10 21:45:51 2023,21.23116,48.7905,21.01842,0.00791437,99560.2,2338,2996,15,57.76914,0.0,19.8125,18.42,16.44205,18.37408
Fri Nov 10 21:46:52 2023,21.2178,48.80576,21.0077,0.005213804,99560.34,2326,3044,32,51.95999,0.0,19.8125,18.42,16.45233,18.38443
Fri Nov 10 21:47:53 2023,21.20979,48.79813,21.01842,0.01378708,99559.76,2358,3053,31,52.43322,0.0,19.75,18.33,16.26315,18.26361
