#t (s)	T TESTO (°C)	T DS18B20 (°C)
406	30.8	27.1875
407	30.8	27.1875
408	30.8	27.25
409	30.8	27.1875
410	30.8	27.25
411	30.8	27.25
412	30.8	27.25
413	30.8	27.25
414	30.8	27.25
415	30.8	27.25
416	30.8	27.25
417	30.8	27.25
418	30.8	27.25
419	30.8	27.25
420	30.8	27.25
421	30.9	27.3125
422	30.9	27.3125
423	30.9	27.3125
424	30.9	27.3125
425	30.9	27.3125
426	30.9	27.3125
427	30.9	27.3125
428	30.9	27.3125
429	30.9	27.3125
430	30.9	27.3125
431	30.9	27.3125
432	30.9	27.3125
433	30.9	27.3125
434	30.9	27.3125
435	31	27.375
436	31	27.375
437	31	27.375
438	31	27.375
439	31	27.375
440	31	27.375
441	31	27.4375
442	31	27.375
443	31	27.375
444	31	27.375
445	31	27.375
446	31	27.375
447	31	27.4375
448	31	27.4375
449	31.1	27.4375
450	31.1	27.4375
451	31.1	27.4375
452	31.1	27.4375
453	31.1	27.4375
454	31.1	27.4375
455	31.1	27.4375
456	31.1	27.4375
457	31.2	27.4375
458	31.2	27.4375
459	31.2	27.5
460	31.2	27.5
461	31.2	27.5
462	31.2	27.5
463	31.2	27.5
464	31.2	27.5
465	31.2	27.5
466	31.2	27.5
467	31.2	27.5
468	31.2	27.5
469	31.2	27.5625
470	31.2	27.5
471	31.3	27.5625
472	31.3	27.5
473	31.3	27.5625
474	31.3	27.5
475	31.3	27.5625
476	31.3	27.5625
477	31.3	27.5625
478	31.3	27.5625
479	31.3	27.5625
480	31.3	27.5625
481	31.3	27.5625
482	31.3	27.5625
483	31.3	27.625
484	31.3	27.625
485	31.3	27.625
486	31.3	27.625
487	31.4	27.625
488	31.4	27.5625
489	31.4	27.625
490	31.4	27.625
491	31.4	27.625
492	31.4	27.625
493	31.4	27.625
494	31.4	27.625
495	31.4	27.6875
496	31.4	27.6875
497	31.4	27.6875
498	31.4	27.6875
499	31.4	27.6875
500	31.4	27.6875
501	31.4	27.6875
502	31.4	27.6875
503	31.5	27.6875
504	31.5	27.6875
505	31.5	27.75
506	31.5	27.6875
507	31.5	27.6875
508	31.5	27.75
509	31.5	27.75
510	31.5	27.6875
511	31.5	27.75
512	31.5	27.75
513	31.5	27.75
514	31.5	27.75
515	31.5	27.75
516	31.5	27.75
517	31.5	27.75
518	31.5	27.75
519	31.6	27.75
520	31.6	27.8125
521	31.6	27.75
522	31.6	27.75
523	31.6	27.8125
524	31.6	27.8125
525	31.6	27.8125
526	31.6	27.8125
527	31.6	27.8125
528	31.6	27.8125
529	31.6	27.8125
530	31.6	27.8125
531	31.6	27.8125
532	31.6	27.8125
533	31.6	27.8125
534	31.6	27.875
535	31.6	27.8125
536	31.6	27.8125
537	31.7	27.875
538	31.7	27.8125
539	31.7	27.875
540	31.7	27.875
541	31.7	27.875
542	31.7	27.875
543	31.7	27.875
544	31.7	27.875
545	31.7	27.875
546	31.7	27.875
547	31.7	27.875
548	31.7	27.9375
549	31.7	27.875
550	31.7	27.9375
551	31.7	27.875
552	31.7	27.9375
553	31.7	27.9375
554	31.7	27.9375
555	31.7	27.9375
