#t(s)	T TESTO (°C)	T DS18B20 (°C)
575	34.4	30.25
576	34.4	30.25
577	34.4	30.25
578	34.4	30.25
579	34.4	30.25
580	34.4	30.25
581	34.4	30.25
582	34.4	30.25
583	34.4	30.1875
584	34.4	30.25
585	34.4	30.3125
586	34.4	30.25
587	34.4	30.25
588	34.4	30.25
589	34.4	30.25
590	34.4	30.25
591	34.4	30.25
592	34.4	30.25
593	34.4	30.25
594	34.4	30.25
595	34.4	30.25
596	34.4	30.25
597	34.4	30.25
598	34.4	30.25
599	34.4	30.25
600	34.4	30.25
601	34.4	30.25
602	34.4	30.25
603	34.4	30.25
604	34.4	30.25
605	34.4	30.25
606	34.4	30.25
607	34.4	30.25
608	34.5	30.25
609	34.5	30.25
610	34.4	30.3125
611	34.4	30.3125
612	34.4	30.25
613	34.4	30.25
614	34.5	30.25
615	34.5	30.25
616	34.4	30.3125
617	34.4	30.3125
618	34.5	30.25
619	34.5	30.3125
620	34.5	30.3125
621	34.5	30.25
622	34.5	30.3125
623	34.5	30.3125
624	34.5	30.3125
625	34.5	30.3125
626	34.5	30.3125
627	34.5	30.25
628	34.5	30.3125
629	34.5	30.3125
630	34.5	30.3125
631	34.5	30.25
632	34.5	30.3125
633	34.5	30.3125
634	34.5	30.3125
635	34.5	30.3125
636	34.5	30.3125
637	34.5	30.3125
638	34.5	30.3125
639	34.5	30.3125
640	34.5	30.3125
641	34.5	30.3125
642	34.5	30.3125
643	34.5	30.3125
644	34.5	30.3125
645	34.5	30.3125
646	34.5	30.3125
647	34.5	30.3125
648	34.5	30.3125
649	34.5	30.3125
650	34.5	30.3125
651	34.5	30.3125
652	34.5	30.3125
653	34.5	30.3125
654	34.5	30.3125
655	34.5	30.3125
656	34.5	30.3125
657	34.5	30.3125
658	34.5	30.3125
659	34.5	30.3125
660	34.5	30.3125
661	34.5	30.3125
662	34.5	30.3125
663	34.5	30.3125
664	34.5	30.3125
665	34.5	30.3125
666	34.5	30.3125
667	34.5	30.3125
668	34.5	30.3125
669	34.5	30.3125
670	34.5	30.3125
671	34.5	30.3125
672	34.5	30.3125
673	34.5	30.3125
674	34.5	30.375
675	34.5	30.3125
676	34.5	30.3125
677	34.5	30.3125
678	34.5	30.3125
679	34.5	30.375
680	34.5	30.3125
681	34.5	30.3125
682	34.5	30.3125
683	34.5	30.3125
684	34.5	30.375
685	34.5	30.3125
686	34.5	30.375
687	34.5	30.375
688	34.5	30.375
689	34.5	30.375
690	34.5	30.3125
691	34.5	30.375
