NO;SOUND;UNIT;TIME
203;51.2;dBC;05-04-24/14:20:00
204;51.0;dBC;05-04-24/14:20:10
205;50.3;dBC;05-04-24/14:20:20
206;50.5;dBC;05-04-24/14:20:30
207;51.2;dBC;05-04-24/14:20:40
208;52.7;dBC;05-04-24/14:20:50
209;57.4;dBC;05-04-24/14:21:00
210;59.3;dBC;05-04-24/14:21:10
211;60.1;dBC;05-04-24/14:21:20
212;52.2;dBC;05-04-24/14:21:30
213;49.3;dBC;05-04-24/14:21:40
214;53.6;dBC;05-04-24/14:21:50
215;53.4;dBC;05-04-24/14:22:00
216;50.8;dBC;05-04-24/14:22:10
217;52.7;dBC;05-04-24/14:22:20
218;58.9;dBC;05-04-24/14:22:30
219;50.0;dBC;05-04-24/14:22:40
220;67.4;dBC;05-04-24/14:22:50
221;53.1;dBC;05-04-24/14:23:00
222;53.6;dBC;05-04-24/14:23:10
223;53.9;dBC;05-04-24/14:23:20
224;56.0;dBC;05-04-24/14:23:30
225;57.2;dBC;05-04-24/14:23:40
226;49.6;dBC;05-04-24/14:23:50
227;50.8;dBC;05-04-24/14:24:00
228;49.3;dBC;05-04-24/14:24:10
229;49.1;dBC;05-04-24/14:24:20
230;50.3;dBC;05-04-24/14:24:30
231;52.7;dBC;05-04-24/14:24:40
232;62.0;dBC;05-04-24/14:24:50
233;63.2;dBC;05-04-24/14:25:00
234;50.0;dBC;05-04-24/14:25:10
235;54.1;dBC;05-04-24/14:25:20
236;51.0;dBC;05-04-24/14:25:30
237;51.7;dBC;05-04-24/14:25:40
238;48.4;dBC;05-04-24/14:25:50
239;49.6;dBC;05-04-24/14:26:00
240;49.8;dBC;05-04-24/14:26:10
241;49.8;dBC;05-04-24/14:26:20
242;55.8;dBC;05-04-24/14:26:30
243;58.9;dBC;05-04-24/14:26:40
244;57.4;dBC;05-04-24/14:26:50
245;58.6;dBC;05-04-24/14:27:00
246;56.2;dBC;05-04-24/14:27:10
247;52.4;dBC;05-04-24/14:27:20
248;49.3;dBC;05-04-24/14:27:30
249;49.6;dBC;05-04-24/14:27:40
250;51.2;dBC;05-04-24/14:27:50
251;49.1;dBC;05-04-24/14:28:00
252;49.3;dBC;05-04-24/14:28:10
253;48.8;dBC;05-04-24/14:28:20
254;48.4;dBC;05-04-24/14:28:30
255;48.4;dBC;05-04-24/14:28:40
